Episode,Total Reward,Steps,Termination Reason
1,-90,20,boundary
2,-135,13,no_fly_zone
3,-90,20,boundary
4,-484,217,boundary
5,-135,13,no_fly_zone
6,-277,84,no_fly_zone
7,50,20,boundary
8,-34,20,boundary
9,-177,34,no_fly_zone
10,-303,97,no_fly_zone
11,50,20,boundary
12,-90,20,boundary
13,-90,20,boundary
14,-130,14,no_fly_zone
15,-90,20,boundary
16,50,20,boundary
17,-165,28,no_fly_zone
18,-236,93,boundary
19,-90,20,boundary
20,-94,22,boundary
21,-90,20,boundary
22,-135,13,no_fly_zone
23,50,20,boundary
24,-196,73,boundary
25,-118,34,boundary
26,-90,20,boundary
27,-135,13,no_fly_zone
28,50,20,boundary
29,-135,13,no_fly_zone
30,-176,63,boundary
31,-534,507,target_reached
32,-359,125,no_fly_zone
33,-90,20,boundary
34,50,20,boundary
35,-130,40,boundary
36,-322,136,boundary
37,-135,13,no_fly_zone
38,-90,20,boundary
39,-329,110,no_fly_zone
40,50,20,boundary
41,50,20,boundary
42,-868,409,boundary
43,-675,283,no_fly_zone
44,-120,16,no_fly_zone
45,-83,20,boundary
46,50,20,boundary
47,-90,20,boundary
48,50,20,boundary
49,-135,13,no_fly_zone
50,50,20,boundary
51,-110,18,no_fly_zone
52,50,20,boundary
53,-135,13,no_fly_zone
54,-48,20,boundary
55,-130,40,boundary
56,50,20,boundary
57,-135,13,no_fly_zone
58,-135,13,no_fly_zone
59,-308,129,boundary
60,-135,13,no_fly_zone
61,-90,20,boundary
62,-90,20,boundary
63,-90,20,boundary
64,50,20,boundary
65,50,20,boundary
66,-90,20,boundary
67,-135,13,no_fly_zone
68,-90,20,boundary
69,15,20,boundary
70,50,20,boundary
71,50,20,boundary
72,-13,20,boundary
73,56,24,boundary
74,-96,23,boundary
75,50,20,boundary
76,-90,20,boundary
77,-135,13,no_fly_zone
78,-139,15,no_fly_zone
79,50,20,boundary
80,-135,13,no_fly_zone
81,48,21,boundary
82,393,40,target_reached
83,-90,20,boundary
84,-222,86,boundary
85,-135,13,no_fly_zone
86,82,39,boundary
87,-76,20,boundary
88,-90,20,boundary
89,-1400,700,max_steps
90,-135,13,no_fly_zone
91,-90,20,boundary
92,-90,20,boundary
93,-135,13,no_fly_zone
94,-197,44,no_fly_zone
95,50,20,boundary
96,-90,20,boundary
97,50,20,boundary
98,50,20,boundary
99,-322,178,boundary
100,-135,13,no_fly_zone
101,-177,95,boundary
102,-90,20,boundary
103,-137,14,no_fly_zone
104,-135,13,no_fly_zone
105,-168,59,boundary
106,-553,222,no_fly_zone
107,-90,20,boundary
108,22,20,boundary
109,-153,22,no_fly_zone
110,-90,20,boundary
111,-135,13,no_fly_zone
112,-13,20,boundary
113,50,20,boundary
114,50,20,boundary
115,-165,28,no_fly_zone
116,56,24,boundary
117,50,20,boundary
118,50,20,boundary
119,-219,95,boundary
120,-90,20,boundary
121,50,20,boundary
122,-158,54,boundary
123,53,22,boundary
124,-90,20,boundary
125,50,20,boundary
126,-90,20,boundary
127,22,20,boundary
128,50,20,boundary
129,-135,13,no_fly_zone
130,-135,13,no_fly_zone
131,-173,32,no_fly_zone
132,-232,72,no_fly_zone
133,50,20,boundary
134,-175,33,no_fly_zone
135,-155,23,no_fly_zone
136,-135,13,no_fly_zone
137,-135,13,no_fly_zone
138,-6,20,boundary
139,-135,13,no_fly_zone
